Department,Appointment Type,Year,Count
EDUC,Tenured,FALL 2002,0.33
EDUC,Tenured,FALL 2001,0.33
EDUC,Tenure-Track,FALL 2023,0.83
EDUC,Tenure-Track,FALL 2022,1.67
EDUC,Tenure-Track,FALL 2021,1.16
EDUC,Tenure-Track,FALL 2020,0.66
EDUC,Tenure-Track,FALL 2019,1.00
EDUC,Tenure-Track,FALL 2018,1.00
EDUC,Tenure-Track,FALL 2017,1.00
EDUC,Tenure-Track,FALL 2016,0.00
EDUC,Tenure-Track,FALL 2015,0.00
EDUC,Tenure-Track,FALL 2014,1.00
EDUC,Tenure-Track,FALL 2013,0.00
EDUC,Tenure-Track,FALL 2012,0.00
EDUC,Tenure-Track,FALL 2011,0.00
EDUC,Tenure-Track,FALL 2010,1.83
EDUC,Tenure-Track,FALL 2009,1.33
EDUC,Tenure-Track,FALL 2008,1.75
EDUC,Tenure-Track,FALL 2007,0.83
EDUC,Tenure-Track,FALL 2006,0.83
EDUC,Tenure-Track,FALL 2005,2.17
EDUC,Tenure-Track,FALL 2004,2.67
EDUC,Tenure-Track,FALL 2003,2.67
EDUC,Tenure-Track,FALL 2002,2.00
EDUC,Tenure-Track,FALL 2001,1.00
EDUC,Visiting,FALL 2023,0.00
EDUC,Visiting,FALL 2022,0.00
EDUC,Visiting,FALL 2021,0.00
EDUC,Visiting,FALL 2020,0.00
EDUC,Visiting,FALL 2019,0.00
EDUC,Visiting,FALL 2018,0.00
EDUC,Visiting,FALL 2017,0.00
EDUC,Visiting,FALL 2016,1.00
EDUC,Visiting,FALL 2015,0.66
EDUC,Visiting,FALL 2014,1.00
EDUC,Visiting,FALL 2013,1.66
EDUC,Visiting,FALL 2012,2.00
EDUC,Visiting,FALL 2011,2.02
EDUC,Visiting,FALL 2010,0.80
EDUC,Visiting,FALL 2009,1.00
EDUC,Visiting,FALL 2008,0.66
EDUC,Visiting,FALL 2007,2.00
EDUC,Visiting,FALL 2006,1.00
EDUC,Visiting,FALL 2005,1.00
EDUC,Visiting,FALL 2004,0.00
EDUC,Visiting,FALL 2003,0.00
EDUC,Visiting,FALL 2002,0.00
EDUC,Visiting,FALL 2001,2.00
EDUC,Adjunct,FALL 2023,0.00
EDUC,Adjunct,FALL 2022,0.00
EDUC,Adjunct,FALL 2021,0.16
EDUC,Adjunct,FALL 2020,0.42
EDUC,Adjunct,FALL 2019,0.16
EDUC,Adjunct,FALL 2018,0.66
EDUC,Adjunct,FALL 2017,0.83
EDUC,Adjunct,FALL 2016,0.50
EDUC,Adjunct,FALL 2015,0.83
EDUC,Adjunct,FALL 2014,0.00
EDUC,Adjunct,FALL 2013,0.05
EDUC,Adjunct,FALL 2012,0.00
EDUC,Adjunct,FALL 2011,0.00
EDUC,Adjunct,FALL 2010,0.00
EDUC,Adjunct,FALL 2009,0.16
EDUC,Adjunct,FALL 2008,0.00
EDUC,Adjunct,FALL 2007,1.16
EDUC,Adjunct,FALL 2006,0.83
EDUC,Adjunct,FALL 2005,2.33
EDUC,Adjunct,FALL 2004,1.54
EDUC,Adjunct,FALL 2003,1.58
EDUC,Adjunct,FALL 2002,2.14
EDUC,Adjunct,FALL 2001,0.83
ENGL,Tenured,FALL 2023,5.42
ENGL,Tenured,FALL 2022,4.67
ENGL,Tenured,FALL 2021,5.33
ENGL,Tenured,FALL 2020,6.33
ENGL,Tenured,FALL 2019,6.33
ENGL,Tenured,FALL 2018,6.50
ENGL,Tenured,FALL 2017,6.00
ENGL,Tenured,FALL 2016,7.33
ENGL,Tenured,FALL 2015,6.00
ENGL,Tenured,FALL 2014,7.50
ENGL,Tenured,FALL 2013,6.83
ENGL,Tenured,FALL 2012,7.00
ENGL,Tenured,FALL 2011,6.66
ENGL,Tenured,FALL 2010,5.00
ENGL,Tenured,FALL 2009,4.66
ENGL,Tenured,FALL 2008,5.33
ENGL,Tenured,FALL 2007,5.33
ENGL,Tenured,FALL 2006,4.33
ENGL,Tenured,FALL 2005,4.67
ENGL,Tenured,FALL 2004,6.33
ENGL,Tenured,FALL 2003,7.00
ENGL,Tenured,FALL 2002,7.00
ENGL,Tenured,FALL 2001,4.00
ENGL,Tenure-Track,FALL 2023,2.00
ENGL,Tenure-Track,FALL 2022,2.00
ENGL,Tenure-Track,FALL 2021,0.00
ENGL,Tenure-Track,FALL 2020,1.66
ENGL,Tenure-Track,FALL 2019,2.00
ENGL,Tenure-Track,FALL 2018,1.00
ENGL,Tenure-Track,FALL 2017,1.00
ENGL,Tenure-Track,FALL 2016,1.00
ENGL,Tenure-Track,FALL 2015,1.00
ENGL,Tenure-Track,FALL 2014,0.00
ENGL,Tenure-Track,FALL 2013,0.00
ENGL,Tenure-Track,FALL 2012,1.83
ENGL,Tenure-Track,FALL 2011,2.00
ENGL,Tenure-Track,FALL 2010,4.00
ENGL,Tenure-Track,FALL 2009,3.00
ENGL,Tenure-Track,FALL 2008,4.00
ENGL,Tenure-Track,FALL 2007,4.83
ENGL,Tenure-Track,FALL 2006,4.00
ENGL,Tenure-Track,FALL 2005,4.00
ENGL,Tenure-Track,FALL 2004,2.00
ENGL,Tenure-Track,FALL 2003,3.33
ENGL,Tenure-Track,FALL 2002,1.67
ENGL,Tenure-Track,FALL 2001,2.67
ENGL,Visiting,FALL 2023,1.00
ENGL,Visiting,FALL 2022,1.33
ENGL,Visiting,FALL 2021,1.83
ENGL,Visiting,FALL 2020,1.66
ENGL,Visiting,FALL 2019,2.16
ENGL,Visiting,FALL 2018,3.33
ENGL,Visiting,FALL 2017,1.00
ENGL,Visiting,FALL 2016,1.00
ENGL,Visiting,FALL 2015,2.00
ENGL,Visiting,FALL 2014,1.00
ENGL,Visiting,FALL 2013,2.00
ENGL,Visiting,FALL 2012,1.33
ENGL,Visiting,FALL 2011,1.83
ENGL,Visiting,FALL 2010,1.00
ENGL,Visiting,FALL 2009,2.00
ENGL,Visiting,FALL 2008,4.00
ENGL,Visiting,FALL 2007,2.66
ENGL,Visiting,FALL 2006,5.83
ENGL,Visiting,FALL 2005,4.00
ENGL,Visiting,FALL 2004,4.00
ENGL,Visiting,FALL 2003,2.00
ENGL,Visiting,FALL 2002,3.33
ENGL,Visiting,FALL 2001,3.00
ENGL,Adjunct,FALL 2023,0.00
ENGL,Adjunct,FALL 2022,2.67
ENGL,Adjunct,FALL 2021,4.66
ENGL,Adjunct,FALL 2020,2.33
ENGL,Adjunct,FALL 2019,0.66
ENGL,Adjunct,FALL 2018,1.00
ENGL,Adjunct,FALL 2017,2.00
ENGL,Adjunct,FALL 2016,1.33
ENGL,Adjunct,FALL 2015,0.00
ENGL,Adjunct,FALL 2014,0.00
ENGL,Adjunct,FALL 2013,1.00
ENGL,Adjunct,FALL 2012,0.25
ENGL,Adjunct,FALL 2011,0.16
ENGL,Adjunct,FALL 2010,1.33
ENGL,Adjunct,FALL 2009,1.00
ENGL,Adjunct,FALL 2008,1.33
ENGL,Adjunct,FALL 2007,1.66
ENGL,Adjunct,FALL 2006,1.33
ENGL,Adjunct,FALL 2005,1.67
ENGL,Adjunct,FALL 2004,1.67
ENGL,Adjunct,FALL 2003,1.17
ENGL,Adjunct,FALL 2002,0.33
ENGL,Adjunct,FALL 2001,0.33
ENVN,Tenured,FALL 2023,0.00
ENVN,Tenured,FALL 2022,0.00
ENVN,Tenured,FALL 2021,1.00
ENVN,Tenured,FALL 2020,0.00
ENVN,Tenured,FALL 2019,0.00
ENVN,Tenured,FALL 2018,0.00
ENVN,Tenure-Track,FALL 2023,0.00
ENVN,Tenure-Track,FALL 2022,0.00
ENVN,Tenure-Track,FALL 2021,0.00
ENVN,Tenure-Track,FALL 2020,0.00
ENVN,Tenure-Track,FALL 2019,0.00
ENVN,Tenure-Track,FALL 2018,0.00
ENVN,Visiting,FALL 2023,0.00
ENVN,Visiting,FALL 2022,0.00
ENVN,Visiting,FALL 2021,0.00
ENVN,Visiting,FALL 2020,0.00
ENVN,Visiting,FALL 2019,0.00
ENVN,Visiting,FALL 2018,0.00
ENVN,Adjunct,FALL 2023,0.00
ENVN,Adjunct,FALL 2022,0.00
ENVN,Adjunct,FALL 2021,0.00
ENVN,Adjunct,FALL 2020,0.33
ENVN,Adjunct,FALL 2019,0.33
ENVN,Adjunct,FALL 2018,0.33
ETHN,Tenured,FALL 2023,1.00
ETHN,Tenured,FALL 2022,0.00
ETHN,Tenured,FALL 2021,0.00
ETHN,Tenured,FALL 2020,0.00
ETHN,Tenured,FALL 2019,0.00
ETHN,Tenured,FALL 2018,0.00
ETHN,Tenured,FALL 2017,0.00
ETHN,Tenured,FALL 2016,0.00
ETHN,Tenured,FALL 2015,0.00
ETHN,Tenured,FALL 2014,0.00
ETHN,Tenured,FALL 2013,0.00
ETHN,Tenured,FALL 2012,0.00
ETHN,Tenured,FALL 2011,0.00
ETHN,Tenured,FALL 2010,0.00
ETHN,Tenured,FALL 2009,0.00
ETHN,Tenured,FALL 2008,0.00
ETHN,Tenured,FALL 2007,0.00
ETHN,Tenured,FALL 2006,0.00
ETHN,Tenure-Track,FALL 2023,0.00
ETHN,Tenure-Track,FALL 2022,1.00
ETHN,Tenure-Track,FALL 2021,1.00
ETHN,Tenure-Track,FALL 2020,1.00
ETHN,Tenure-Track,FALL 2019,1.00
ETHN,Tenure-Track,FALL 2018,1.00
ETHN,Tenure-Track,FALL 2017,1.00
ETHN,Tenure-Track,FALL 2016,1.00
ETHN,Tenure-Track,FALL 2015,1.00
ETHN,Tenure-Track,FALL 2014,0.00
ETHN,Tenure-Track,FALL 2013,0.00
ETHN,Tenure-Track,FALL 2012,0.00
ETHN,Tenure-Track,FALL 2011,0.00
ETHN,Tenure-Track,FALL 2010,0.00
ETHN,Tenure-Track,FALL 2009,1.00
ETHN,Tenure-Track,FALL 2008,1.00
ETHN,Tenure-Track,FALL 2007,1.00
ETHN,Tenure-Track,FALL 2006,1.33
ETHN,Visiting,FALL 2023,0.00
ETHN,Visiting,FALL 2022,0.00
ETHN,Visiting,FALL 2021,0.00
ETHN,Visiting,FALL 2020,0.00
ETHN,Visiting,FALL 2019,0.00
ETHN,Visiting,FALL 2018,0.00
ETHN,Visiting,FALL 2017,0.00
ETHN,Visiting,FALL 2016,0.00
ETHN,Visiting,FALL 2015,0.00
ETHN,Visiting,FALL 2014,1.00
ETHN,Visiting,FALL 2013,1.00
ETHN,Visiting,FALL 2012,0.00
ETHN,Visiting,FALL 2011,0.00
ETHN,Visiting,FALL 2010,0.00
ETHN,Visiting,FALL 2009,0.00
ETHN,Visiting,FALL 2008,0.00
ETHN,Visiting,FALL 2007,0.00
ETHN,Visiting,FALL 2006,0.00
ETHN,Adjunct,FALL 2023,0.00
ETHN,Adjunct,FALL 2022,0.00
ETHN,Adjunct,FALL 2021,0.00
ETHN,Adjunct,FALL 2020,0.00
ETHN,Adjunct,FALL 2019,0.00
ETHN,Adjunct,FALL 2018,0.00
ETHN,Adjunct,FALL 2017,0.00
ETHN,Adjunct,FALL 2016,0.00
ETHN,Adjunct,FALL 2015,0.00
ETHN,Adjunct,FALL 2014,0.00
ETHN,Adjunct,FALL 2013,0.00
ETHN,Adjunct,FALL 2012,0.66
ETHN,Adjunct,FALL 2011,0.66
ETHN,Adjunct,FALL 2010,0.66
ETHN,Adjunct,FALL 2009,0.00
ETHN,Adjunct,FALL 2008,0.66
ETHN,Adjunct,FALL 2007,0.00
ETHN,Adjunct,FALL 2006,0.00
GEOL,Tenured,FALL 2023,2.33
GEOL,Tenured,FALL 2022,2.00
GEOL,Tenured,FALL 2021,1.00
GEOL,Tenured,FALL 2020,1.50
GEOL,Tenured,FALL 2019,3.66
GEOL,Tenured,FALL 2018,4.08
GEOL,Tenured,FALL 2017,4.66
GEOL,Tenured,FALL 2016,3.33
GEOL,Tenured,FALL 2015,3.00
GEOL,Tenured,FALL 2014,3.66
GEOL,Tenured,FALL 2013,3.16
GEOL,Tenured,FALL 2012,3.33
GEOL,Tenured,FALL 2011,2.61
GEOL,Tenured,FALL 2010,2.83
GEOL,Tenured,FALL 2009,2.83
GEOL,Tenured,FALL 2008,3.16
GEOL,Tenured,FALL 2007,4.00
GEOL,Tenured,FALL 2006,2.16
GEOL,Tenured,FALL 2005,3.83
GEOL,Tenured,FALL 2004,3.83
GEOL,Tenured,FALL 2003,2.67
GEOL,Tenured,FALL 2002,3.17
GEOL,Tenured,FALL 2001,3.67
GEOL,Tenure-Track,FALL 2023,1.66
GEOL,Tenure-Track,FALL 2022,3.00
GEOL,Tenure-Track,FALL 2021,3.00
GEOL,Tenure-Track,FALL 2020,1.83
GEOL,Tenure-Track,FALL 2019,2.00
GEOL,Tenure-Track,FALL 2018,1.00
GEOL,Tenure-Track,FALL 2017,1.00
GEOL,Tenure-Track,FALL 2016,1.00
GEOL,Tenure-Track,FALL 2015,1.00
GEOL,Tenure-Track,FALL 2014,1.00
GEOL,Tenure-Track,FALL 2013,0.00
GEOL,Tenure-Track,FALL 2012,1.00
GEOL,Tenure-Track,FALL 2011,1.00
GEOL,Tenure-Track,FALL 2010,2.33
GEOL,Tenure-Track,FALL 2009,1.66
GEOL,Tenure-Track,FALL 2008,2.00
GEOL,Tenure-Track,FALL 2007,2.00
GEOL,Tenure-Track,FALL 2006,1.83
GEOL,Tenure-Track,FALL 2005,1.00
GEOL,Tenure-Track,FALL 2004,1.00
GEOL,Tenure-Track,FALL 2003,0.00
GEOL,Tenure-Track,FALL 2002,0.00
GEOL,Tenure-Track,FALL 2001,0.00
GEOL,Visiting,FALL 2023,1.00
GEOL,Visiting,FALL 2022,0.00
GEOL,Visiting,FALL 2021,0.00
GEOL,Visiting,FALL 2020,0.00
GEOL,Visiting,FALL 2019,0.00
GEOL,Visiting,FALL 2018,0.00
GEOL,Visiting,FALL 2017,0.00
GEOL,Visiting,FALL 2016,1.00
GEOL,Visiting,FALL 2015,1.00
GEOL,Visiting,FALL 2014,0.00
GEOL,Visiting,FALL 2013,1.00
GEOL,Visiting,FALL 2012,1.00
GEOL,Visiting,FALL 2011,1.00
GEOL,Adjunct,FALL 2023,0.00
GEOL,Adjunct,FALL 2022,0.00
GEOL,Adjunct,FALL 2021,0.66
GEOL,Adjunct,FALL 2020,0.00
GEOL,Adjunct,FALL 2019,0.00
GEOL,Adjunct,FALL 2018,0.00
GEOL,Adjunct,FALL 2017,0.00
GEOL,Adjunct,FALL 2016,0.00
GEOL,Adjunct,FALL 2015,0.00
GEOL,Adjunct,FALL 2014,0.00
GEOL,Adjunct,FALL 2013,0.00
GEOL,Adjunct,FALL 2012,0.00
GEOL,Adjunct,FALL 2011,0.00
GEOL,Adjunct,FALL 2010,0.00
GEOL,Adjunct,FALL 2009,0.83
GEOL,Adjunct,FALL 2008,1.00
GEOL,Adjunct,FALL 2007,0.00
GEOL,Adjunct,FALL 2006,0.00
GEOL,Adjunct,FALL 2005,0.00
GEOL,Adjunct,FALL 2004,0.00
GEOL,Adjunct,FALL 2003,0.33
GEOL,Adjunct,FALL 2002,0.00
GEOL,Adjunct,FALL 2001,0.00
HIST,Tenured,FALL 2023,2.00
HIST,Tenured,FALL 2022,1.67
HIST,Tenured,FALL 2021,0.00
HIST,Tenured,FALL 2020,3.16
HIST,Tenured,FALL 2019,3.33
HIST,Tenured,FALL 2018,3.00
HIST,Tenured,FALL 2017,3.33
HIST,Tenured,FALL 2016,3.33
HIST,Tenured,FALL 2015,3.16
HIST,Tenured,FALL 2014,4.00
HIST,Tenured,FALL 2013,5.33
HIST,Tenured,FALL 2012,5.33
HIST,Tenured,FALL 2011,5.00
HIST,Tenured,FALL 2010,4.66
HIST,Tenured,FALL 2009,2.33
HIST,Tenured,FALL 2008,5.33
HIST,Tenured,FALL 2007,4.00
HIST,Tenured,FALL 2006,3.66
HIST,Tenured,FALL 2005,3.67
HIST,Tenured,FALL 2004,4.67
HIST,Tenured,FALL 2003,4.33
HIST,Tenured,FALL 2002,2.83
HIST,Tenured,FALL 2001,2.67
HIST,Tenure-Track,FALL 2023,3.00
HIST,Tenure-Track,FALL 2022,2.00
HIST,Tenure-Track,FALL 2021,2.00
HIST,Tenure-Track,FALL 2020,1.33
HIST,Tenure-Track,FALL 2019,1.00
HIST,Tenure-Track,FALL 2018,2.00
HIST,Tenure-Track,FALL 2017,2.00
HIST,Tenure-Track,FALL 2016,0.00
HIST,Tenure-Track,FALL 2015,0.00
HIST,Tenure-Track,FALL 2014,0.00
HIST,Tenure-Track,FALL 2013,0.00
HIST,Tenure-Track,FALL 2012,0.00
HIST,Tenure-Track,FALL 2011,0.00
HIST,Tenure-Track,FALL 2010,2.33
HIST,Tenure-Track,FALL 2009,2.66
HIST,Tenure-Track,FALL 2008,1.00
HIST,Tenure-Track,FALL 2007,2.00
HIST,Tenure-Track,FALL 2006,1.00
HIST,Tenure-Track,FALL 2005,0.67
HIST,Tenure-Track,FALL 2004,0.00
HIST,Tenure-Track,FALL 2003,2.00
HIST,Tenure-Track,FALL 2002,0.67
HIST,Tenure-Track,FALL 2001,1.33
HIST,Visiting,FALL 2023,0.00
HIST,Visiting,FALL 2022,1.00
HIST,Visiting,FALL 2021,1.00
HIST,Visiting,FALL 2020,1.00
HIST,Visiting,FALL 2019,1.00
HIST,Visiting,FALL 2018,1.00
HIST,Visiting,FALL 2017,1.00
HIST,Visiting,FALL 2016,2.00
HIST,Visiting,FALL 2015,0.00
HIST,Visiting,FALL 2014,0.00
HIST,Visiting,FALL 2013,1.00
HIST,Visiting,FALL 2012,1.66
HIST,Visiting,FALL 2011,1.00
HIST,Visiting,FALL 2010,0.00
HIST,Visiting,FALL 2009,0.00
HIST,Visiting,FALL 2008,2.00
HIST,Visiting,FALL 2007,0.00
HIST,Visiting,FALL 2006,2.00
HIST,Visiting,FALL 2005,2.00
HIST,Visiting,FALL 2004,0.00
HIST,Visiting,FALL 2003,0.00
HIST,Visiting,FALL 2002,2.00
HIST,Visiting,FALL 2001,1.00
HIST,Adjunct,FALL 2023,0.00
HIST,Adjunct,FALL 2022,0.00
HIST,Adjunct,FALL 2021,2.00
HIST,Adjunct,FALL 2020,0.00
HIST,Adjunct,FALL 2019,0.67
HIST,Adjunct,FALL 2018,0.00
HIST,Adjunct,FALL 2017,0.00
HIST,Adjunct,FALL 2016,0.00
HIST,Adjunct,FALL 2015,1.33
HIST,Adjunct,FALL 2014,0.33
HIST,Adjunct,FALL 2013,0.00
HIST,Adjunct,FALL 2012,0.00
HIST,Adjunct,FALL 2011,0.00
HIST,Adjunct,FALL 2010,0.00
HIST,Adjunct,FALL 2009,0.66
HIST,Adjunct,FALL 2008,0.00
HIST,Adjunct,FALL 2007,0.00
HIST,Adjunct,FALL 2006,0.00
HIST,Adjunct,FALL 2005,0.00
HIST,Adjunct,FALL 2004,1.00
HIST,Adjunct,FALL 2003,0.00
HIST,Adjunct,FALL 2002,0.67
HIST,Adjunct,FALL 2001,0.00
INTN,Tenured,FALL 2023,1.00
INTN,Tenured,FALL 2022,1.00
INTN,Tenured,FALL 2021,1.00
INTN,Tenured,FALL 2020,1.00
INTN,Tenured,FALL 2019,1.00
INTN,Tenured,FALL 2018,1.00
INTN,Tenured,FALL 2017,1.00
INTN,Tenured,FALL 2016,1.00
INTN,Tenured,FALL 2015,1.00
INTN,Tenured,FALL 2014,1.00
INTN,Tenured,FALL 2013,1.00
INTN,Tenured,FALL 2012,0.00
INTN,Tenured,FALL 2011,1.00
INTN,Tenured,FALL 2010,0.00
INTN,Tenured,FALL 2009,0.00
INTN,Tenured,FALL 2008,0.00
INTN,Tenured,FALL 2007,0.00
INTN,Tenured,FALL 2006,0.00
INTN,Tenure-Track,FALL 2023,0.00
INTN,Tenure-Track,FALL 2022,0.00
INTN,Tenure-Track,FALL 2021,0.00
INTN,Tenure-Track,FALL 2020,0.00
INTN,Tenure-Track,FALL 2019,0.00
INTN,Tenure-Track,FALL 2018,0.00
INTN,Tenure-Track,FALL 2017,0.00
INTN,Tenure-Track,FALL 2016,0.00
INTN,Tenure-Track,FALL 2015,0.00
INTN,Tenure-Track,FALL 2014,0.00
INTN,Tenure-Track,FALL 2013,0.00
INTN,Tenure-Track,FALL 2012,0.00
INTN,Tenure-Track,FALL 2011,0.00
INTN,Tenure-Track,FALL 2010,1.00
INTN,Tenure-Track,FALL 2009,1.00
INTN,Tenure-Track,FALL 2008,1.00
INTN,Tenure-Track,FALL 2007,1.00
INTN,Tenure-Track,FALL 2006,1.00
INTN,Visiting,FALL 2023,0.00
INTN,Visiting,FALL 2022,0.00
INTN,Visiting,FALL 2021,0.00
INTN,Visiting,FALL 2020,0.00
INTN,Visiting,FALL 2019,0.00
INTN,Visiting,FALL 2018,0.00
INTN,Visiting,FALL 2017,0.00
INTN,Visiting,FALL 2016,0.00
INTN,Visiting,FALL 2015,0.00
INTN,Visiting,FALL 2014,0.00
INTN,Visiting,FALL 2013,0.00
INTN,Visiting,FALL 2012,0.00
INTN,Visiting,FALL 2011,0.00
INTN,Visiting,FALL 2010,0.00
INTN,Visiting,FALL 2009,0.00
INTN,Visiting,FALL 2008,0.00
INTN,Visiting,FALL 2007,0.00
INTN,Visiting,FALL 2006,0.00
INTN,Adjunct,FALL 2023,0.00
INTN,Adjunct,FALL 2022,0.00
INTN,Adjunct,FALL 2021,0.00
INTN,Adjunct,FALL 2020,0.00
INTN,Adjunct,FALL 2019,0.00
INTN,Adjunct,FALL 2018,0.00
INTN,Adjunct,FALL 2017,0.00
INTN,Adjunct,FALL 2016,0.00
INTN,Adjunct,FALL 2015,0.00
INTN,Adjunct,FALL 2014,0.00
INTN,Adjunct,FALL 2013,0.00
INTN,Adjunct,FALL 2012,0.00
INTN,Adjunct,FALL 2011,0.00
INTN,Adjunct,FALL 2010,0.00
INTN,Adjunct,FALL 2009,0.00
INTN,Adjunct,FALL 2008,0.00
INTN,Adjunct,FALL 2007,0.00
INTN,Adjunct,FALL 2006,0.00
KIN/PHED*,Tenured,FALL 2023,0.67
KIN/PHED*,Tenured,FALL 2022,0.00
KIN/PHED*,Tenured,FALL 2021,1.16
KIN/PHED*,Tenured,FALL 2020,1.00
KIN/PHED*,Tenured,FALL 2019,1.83
KIN/PHED*,Tenured,FALL 2018,2.00
KIN/PHED*,Tenured,FALL 2017,2.41
KIN/PHED*,Tenured,FALL 2016,1.46
KIN/PHED*,Tenured,FALL 2015,1.16
KIN/PHED*,Tenured,FALL 2014,1.08
KIN/PHED*,Tenured,FALL 2013,1.00
KIN/PHED*,Tenured,FALL 2012,1.00
KIN/PHED*,Tenured,FALL 2011,1.00
KIN/PHED*,Tenured,FALL 2010,2.50
KIN/PHED*,Tenured,FALL 2009,3.16
KIN/PHED*,Tenured,FALL 2008,2.33
KIN/PHED*,Tenured,FALL 2007,3.00
KIN/PHED*,Tenured,FALL 2006,5.66
KIN/PHED*,Tenured,FALL 2005,3.83
KIN/PHED*,Tenured,FALL 2004,3.42
KIN/PHED*,Tenured,FALL 2003,3.50
KIN/PHED*,Tenured,FALL 2002,2.83
KIN/PHED*,Tenured,FALL 2001,3.83
KIN addded as,Tenure-Track,FALL 2023,1.33
KIN addded as,Tenure-Track,FALL 2022,1.83
KIN addded as,Tenure-Track,FALL 2021,2.16
KIN addded as,Tenure-Track,FALL 2020,2.66
KIN addded as,Tenure-Track,FALL 2019,2.00
KIN addded as,Tenure-Track,FALL 2018,1.00
KIN addded as,Tenure-Track,FALL 2017,0.83
KIN addded as,Tenure-Track,FALL 2016,1.00
KIN addded as,Tenure-Track,FALL 2015,1.00
KIN addded as,Tenure-Track,FALL 2014,0.67
KIN addded as,Tenure-Track,FALL 2013,1.00
KIN addded as,Tenure-Track,FALL 2012,1.00
KIN addded as,Tenure-Track,FALL 2011,1.00
KIN addded as,Tenure-Track,FALL 2010,0.00
KIN addded as,Tenure-Track,FALL 2009,0.00
KIN addded as,Tenure-Track,FALL 2008,0.00
KIN addded as,Tenure-Track,FALL 2007,0.00
KIN addded as,Tenure-Track,FALL 2006,0.00
KIN addded as,Tenure-Track,FALL 2005,1.33
KIN addded as,Tenure-Track,FALL 2004,1.17
KIN addded as,Tenure-Track,FALL 2003,0.67
KIN addded as,Tenure-Track,FALL 2002,0.00
KIN addded as,Tenure-Track,FALL 2001,1.00
main dept Fall 2011,Visiting,FALL 2023,1.00
main dept Fall 2011,Visiting,FALL 2022,1.00
main dept Fall 2011,Visiting,FALL 2021,1.00
main dept Fall 2011,Visiting,FALL 2020,0.92
main dept Fall 2011,Visiting,FALL 2019,1.66
main dept Fall 2011,Visiting,FALL 2018,2.00
main dept Fall 2011,Visiting,FALL 2017,2.00
main dept Fall 2011,Visiting,FALL 2016,2.00
main dept Fall 2011,Visiting,FALL 2015,1.83
main dept Fall 2011,Visiting,FALL 2014,1.83
main dept Fall 2011,Visiting,FALL 2013,1.41
main dept Fall 2011,Visiting,FALL 2012,2.33
main dept Fall 2011,Visiting,FALL 2011,2.33
main dept Fall 2011,Visiting,FALL 2010,2.50
main dept Fall 2011,Visiting,FALL 2009,3.83
main dept Fall 2011,Visiting,FALL 2008,3.66
main dept Fall 2011,Visiting,FALL 2007,2.50
main dept Fall 2011,Visiting,FALL 2006,1.33
main dept Fall 2011,Visiting,FALL 2005,0.67
main dept Fall 2011,Visiting,FALL 2004,0.67
main dept Fall 2011,Visiting,FALL 2003,0.67
main dept Fall 2011,Visiting,FALL 2002,1.50
main dept Fall 2011,Visiting,FALL 2001,0.00
main dept Fall 2011,Adjunct,FALL 2023,1.00
main dept Fall 2011,Adjunct,FALL 2022,1.67
main dept Fall 2011,Adjunct,FALL 2021,1.75
main dept Fall 2011,Adjunct,FALL 2020,0.66
main dept Fall 2011,Adjunct,FALL 2019,0.16
main dept Fall 2011,Adjunct,FALL 2018,0.00
main dept Fall 2011,Adjunct,FALL 2017,0.16
main dept Fall 2011,Adjunct,FALL 2016,0.16
main dept Fall 2011,Adjunct,FALL 2015,0.50
main dept Fall 2011,Adjunct,FALL 2014,0.50
main dept Fall 2011,Adjunct,FALL 2013,2.00
main dept Fall 2011,Adjunct,FALL 2012,1.83
main dept Fall 2011,Adjunct,FALL 2011,3.58
main dept Fall 2011,Adjunct,FALL 2010,3.25
main dept Fall 2011,Adjunct,FALL 2009,2.41
main dept Fall 2011,Adjunct,FALL 2008,5.25
main dept Fall 2011,Adjunct,FALL 2007,3.58
main dept Fall 2011,Adjunct,FALL 2006,3.41
main dept Fall 2011,Adjunct,FALL 2005,2.08
main dept Fall 2011,Adjunct,FALL 2004,3.33
main dept Fall 2011,Adjunct,FALL 2003,3.08
main dept Fall 2011,Adjunct,FALL 2002,3.42
main dept Fall 2011,Adjunct,FALL 2001,2.75
MATH/CS*,Tenured,FALL 2023,3.00
MATH/CS*,Tenured,FALL 2022,4.00
MATH/CS*,Tenured,FALL 2021,4.83
MATH/CS*,Tenured,FALL 2020,4.08
MATH/CS*,Tenured,FALL 2019,4.50
MATH/CS*,Tenured,FALL 2018,3.33
MATH/CS*,Tenured,FALL 2017,3.00
MATH/CS*,Tenured,FALL 2016,3.42
MATH/CS*,Tenured,FALL 2015,4.25
MATH/CS*,Tenured,FALL 2014,4.00
MATH/CS*,Tenured,FALL 2013,4.33
MATH/CS*,Tenured,FALL 2012,4.33
MATH/CS*,Tenured,FALL 2011,2.00
MATH/CS*,Tenured,FALL 2010,3.50
MATH/CS*,Tenured,FALL 2009,4.00
MATH/CS*,Tenured,FALL 2008,3.00
MATH/CS*,Tenured,FALL 2007,1.66
MATH/CS*,Tenured,FALL 2006,3.33
MATH/CS*,Tenured,FALL 2005,2.67
MATH/CS*,Tenured,FALL 2004,1.67
MATH/CS*,Tenured,FALL 2003,2.67
MATH/CS*,Tenured,FALL 2002,3.67
MATH/CS*,Tenured,FALL 2001,4.33
MATH/CS*,Tenure-Track,FALL 2023,2.00
MATH/CS*,Tenure-Track,FALL 2022,1.00
